Date,ZARONIA
01/11/2024,7.881
04/11/2024,7.869
05/11/2024,7.87
06/11/2024,7.871
07/11/2024,7.874
08/11/2024,7.881
11/11/2024,7.873
12/11/2024,7.872
13/11/2024,7.875
14/11/2024,7.875
15/11/2024,7.885
18/11/2024,7.875
19/11/2024,7.876
20/11/2024,7.878
21/11/2024,7.832
22/11/2024,7.645
25/11/2024,7.629
26/11/2024,7.623
27/11/2024,7.624
28/11/2024,7.624
29/11/2024,7.625
02/12/2024,7.623
03/12/2024,7.62
04/12/2024,7.617
05/12/2024,7.622
06/12/2024,7.625
09/12/2024,7.622
10/12/2024,7.622
11/12/2024,7.622
12/12/2024,7.627
13/12/2024,7.634
16/12/2024,7.634
17/12/2024,7.621
18/12/2024,7.621
19/12/2024,7.623
20/12/2024,7.636
23/12/2024,7.622
24/12/2024,7.633
25/12/2024,7.633
26/12/2024,7.633
27/12/2024,7.631
30/12/2024,7.621
31/12/2024,7.626
01/01/2025,7.626
02/01/2025,7.617
03/01/2025,7.622
06/01/2025,7.61
07/01/2025,7.611
08/01/2025,7.611
09/01/2025,7.614
10/01/2025,7.628
13/01/2025,7.611
14/01/2025,7.611
15/01/2025,7.62
16/01/2025,7.614
17/01/2025,7.61
20/01/2025,7.615
21/01/2025,7.613
22/01/2025,7.614
23/01/2025,7.615
24/01/2025,7.635
27/01/2025,7.614
28/01/2025,7.62
29/01/2025,7.617
30/01/2025,7.619
31/01/2025,7.405
03/02/2025,7.357
04/02/2025,7.354
05/02/2025,7.357
06/02/2025,7.359
07/02/2025,7.374
10/02/2025,7.362
11/02/2025,7.354
12/02/2025,7.355
13/02/2025,7.357
14/02/2025,7.357
17/02/2025,7.349
18/02/2025,7.353
19/02/2025,7.359
20/02/2025,7.357
21/02/2025,7.374
24/02/2025,7.363
25/02/2025,7.365
26/02/2025,7.364
27/02/2025,7.365
28/02/2025,7.357
03/03/2025,7.357
04/03/2025,7.355
05/03/2025,7.359
06/03/2025,7.359
07/03/2025,7.374
10/03/2025,7.357
11/03/2025,7.357
12/03/2025,7.354
13/03/2025,7.36
14/03/2025,7.373
17/03/2025,7.359
18/03/2025,7.357
19/03/2025,7.361
20/03/2025,7.373
21/03/2025,7.373
24/03/2025,7.363
25/03/2025,7.363
26/03/2025,7.361
27/03/2025,7.36
28/03/2025,7.373
31/03/2025,7.362
01/04/2025,7.365
02/04/2025,7.363
03/04/2025,7.359
04/04/2025,7.369
07/04/2025,7.359
08/04/2025,7.358
09/04/2025,7.358
10/04/2025,7.36
11/04/2025,7.366
14/04/2025,7.36
15/04/2025,7.359
16/04/2025,7.359
17/04/2025,7.36
18/04/2025,7.36
21/04/2025,7.36
22/04/2025,7.359
23/04/2025,7.364
24/04/2025,7.371
25/04/2025,7.38
28/04/2025,7.38
29/04/2025,7.368
30/04/2025,7.365
01/05/2025,7.365
02/05/2025,7.365
05/05/2025,7.354
06/05/2025,7.353
07/05/2025,7.354
08/05/2025,7.34
09/05/2025,7.352
12/05/2025,7.35
13/05/2025,7.35
14/05/2025,7.347
15/05/2025,7.354
16/05/2025,7.352
19/05/2025,7.352
20/05/2025,7.352
21/05/2025,7.353
22/05/2025,7.355
23/05/2025,7.361
26/05/2025,7.358
27/05/2025,7.359
28/05/2025,7.361
29/05/2025,7.361
30/05/2025,7.129
02/06/2025,7.107
03/06/2025,7.105
04/06/2025,7.103
05/06/2025,7.111
06/06/2025,7.111
09/06/2025,7.11
10/06/2025,7.108
11/06/2025,7.109
12/06/2025,7.107
13/06/2025,7.107
16/06/2025,7.107
17/06/2025,7.107
18/06/2025,7.103
19/06/2025,7.106
20/06/2025,7.109
23/06/2025,7.107
24/06/2025,7.111
25/06/2025,7.111
26/06/2025,7.113
27/06/2025,7.113
30/06/2025,7.121
01/07/2025,7.109
02/07/2025,7.106
03/07/2025,7.105
04/07/2025,7.106
07/07/2025,7.105
08/07/2025,7.103
09/07/2025,7.102
10/07/2025,7.101
11/07/2025,7.103
14/07/2025,7.098
15/07/2025,7.101
16/07/2025,7.104
17/07/2025,7.104
18/07/2025,7.104
21/07/2025,7.103
22/07/2025,7.104
23/07/2025,7.104
24/07/2025,7.108
25/07/2025,7.106
28/07/2025,7.111
29/07/2025,7.107
30/07/2025,7.109
31/07/2025,7.108
01/08/2025,6.882
04/08/2025,6.853
05/08/2025,6.854
06/08/2025,6.854
07/08/2025,6.851
08/08/2025,6.854
11/08/2025,6.852
12/08/2025,6.852
13/08/2025,6.849
14/08/2025,6.853
15/08/2025,6.855
18/08/2025,6.853
19/08/2025,6.854
20/08/2025,6.851
21/08/2025,6.854
22/08/2025,6.871
25/08/2025,6.851
26/08/2025,6.855
27/08/2025,6.85
28/08/2025,6.858
29/08/2025,6.877
01/09/2025,6.853
02/09/2025,6.85
03/09/2025,6.85
04/09/2025,6.852
05/09/2025,6.852
08/09/2025,6.852
09/09/2025,6.849
10/09/2025,6.853
11/09/2025,6.854
12/09/2025,6.867
15/09/2025,6.851
16/09/2025,6.854
17/09/2025,6.851
18/09/2025,6.853
19/09/2025,6.852
22/09/2025,6.851
23/09/2025,6.874
24/09/2025,6.874
25/09/2025,6.856
26/09/2025,6.855
29/09/2025,6.855
30/09/2025,6.86
01/10/2025,6.857
02/10/2025,6.853
03/10/2025,6.863
06/10/2025,6.851
07/10/2025,6.844
08/10/2025,6.849
09/10/2025,6.852
10/10/2025,6.863
13/10/2025,6.846
14/10/2025,6.851
15/10/2025,6.849
16/10/2025,6.851
17/10/2025,6.865
20/10/2025,6.855
21/10/2025,6.855
22/10/2025,6.853
23/10/2025,6.856
24/10/2025,6.868
27/10/2025,6.854
28/10/2025,6.858
29/10/2025,6.858
30/10/2025,6.855
31/10/2025,6.852
03/11/2025,6.853
04/11/2025,6.851
05/11/2025,6.85
06/11/2025,6.848
07/11/2025,6.846
10/11/2025,6.844
11/11/2025,6.842
12/11/2025,6.848
13/11/2025,6.846
14/11/2025,6.859
17/11/2025,6.848
18/11/2025,6.848
19/11/2025,6.851
20/11/2025,6.851
21/11/2025,6.616
24/11/2025,6.606
25/11/2025,6.611
26/11/2025,6.604
27/11/2025,6.608
28/11/2025,6.607
01/12/2025,6.6
02/12/2025,6.597
03/12/2025,6.596
04/12/2025,6.597
05/12/2025,6.61
08/12/2025,6.596
09/12/2025,6.593
10/12/2025,6.597
11/12/2025,6.603
12/12/2025,6.612
15/12/2025,6.599
16/12/2025,6.599
17/12/2025,6.604
18/12/2025,6.602
19/12/2025,6.614
22/12/2025,6.59
23/12/2025,6.597
24/12/2025,6.594
25/12/2025,6.594
26/12/2025,6.594
29/12/2025,6.6
30/12/2025,6.6
31/12/2025,6.608
01/01/2026,6.608
02/01/2026,6.608
05/01/2026,6.596
06/01/2026,6.594
07/01/2026,6.588
08/01/2026,6.588
09/01/2026,6.592
12/01/2026,6.597
13/01/2026,6.595
14/01/2026,6.593
15/01/2026,6.6
16/01/2026,6.608
19/01/2026,6.601
20/01/2026,6.599
21/01/2026,6.602
22/01/2026,6.602
23/01/2026,6.599
26/01/2026,6.601
27/01/2026,6.601
28/01/2026,6.603
29/01/2026,6.6
30/01/2026,6.609
02/02/2026,6.6
03/02/2026,6.596
04/02/2026,6.594
05/02/2026,6.598
06/02/2026,6.608
09/02/2026,6.604
10/02/2026,6.603
11/02/2026,6.603
12/02/2026,6.603
13/02/2026,6.602
16/02/2026,6.602
17/02/2026,6.601
18/02/2026,6.602
19/02/2026,6.602
20/02/2026,6.602
23/02/2026,6.601
24/02/2026,6.602
25/02/2026,6.606
26/02/2026,6.602
27/02/2026,6.61
